75 25
0 1 2
0 2 3
0 4 7
0 9 3
0 11 5
0 13 7
0 15 6
0 22 7
1 5 2
1 7 5
1 8 7
1 9 6
1 11 10
1 12 10
1 14 2
1 15 9
1 16 3
1 18 6
1 22 5
2 4 8
2 9 5
2 13 2
3 4 2
3 6 10
3 10 3
3 13 5
3 20 5
4 8 4
4 10 2
5 6 8
5 7 8
5 18 8
5 19 10
5 24 2
6 7 10
6 9 2
6 13 7
6 17 9
6 19 10
7 15 7
7 16 5
7 18 1
7 24 7
8 19 9
8 20 8
9 13 1
9 18 6
10 13 4
10 16 9
10 18 6
11 12 3
12 14 5
12 16 1
12 17 9
12 19 2
12 22 9
13 14 10
13 16 1
13 21 3
13 23 2
14 15 10
14 17 5
14 18 2
16 17 2
17 18 10
17 22 2
18 23 5
18 24 6
19 21 8
19 24 10
20 21 8
21 23 10
21 24 2
22 24 5
23 24 8
